Iteration,Doors,Reveals,HostPolicy,PrizeDoor,InitialChoice,RevealedDoors,SwitchDoor,HostRevealedPrize,StayWin,SwapWin
1,3,1,informed,1,2,3,1,False,False,True
2,3,1,informed,3,1,2,3,False,False,True
3,3,1,informed,1,3,2,1,False,False,True
4,3,1,informed,1,2,3,1,False,False,True
5,3,1,informed,1,1,2,3,False,True,False
6,3,1,informed,1,3,2,1,False,False,True
7,3,1,informed,1,2,3,1,False,False,True
8,3,1,informed,1,2,3,1,False,False,True
9,3,1,informed,2,1,3,2,False,False,True
10,3,1,informed,2,1,3,2,False,False,True
11,3,1,informed,3,2,1,3,False,False,True
12,3,1,informed,3,2,1,3,False,False,True
13,3,1,informed,3,1,2,3,False,False,True
14,3,1,informed,2,1,3,2,False,False,True
15,3,1,informed,1,3,2,1,False,False,True
16,3,1,informed,3,2,1,3,False,False,True
17,3,1,informed,3,3,2,1,False,True,False
18,3,1,informed,2,3,1,2,False,False,True
19,3,1,informed,1,1,2,3,False,True,False
20,3,1,informed,1,2,3,1,False,False,True
21,3,1,informed,2,1,3,2,False,False,True
22,3,1,informed,3,2,1,3,False,False,True
23,3,1,informed,3,1,2,3,False,False,True
24,3,1,informed,1,2,3,1,False,False,True
25,3,1,informed,3,1,2,3,False,False,True
26,3,1,informed,2,2,1,3,False,True,False
27,3,1,informed,2,1,3,2,False,False,True
28,3,1,informed,3,1,2,3,False,False,True
29,3,1,informed,2,2,3,1,False,True,False
30,3,1,informed,3,1,2,3,False,False,True
31,3,1,informed,3,2,1,3,False,False,True
32,3,1,informed,2,3,1,2,False,False,True
33,3,1,informed,3,3,2,1,False,True,False
34,3,1,informed,1,2,3,1,False,False,True
35,3,1,informed,1,1,3,2,False,True,False
36,3,1,informed,3,3,2,1,False,True,False
37,3,1,informed,1,1,2,3,False,True,False
38,3,1,informed,3,3,1,2,False,True,False
39,3,1,informed,1,2,3,1,False,False,True
40,3,1,informed,1,2,3,1,False,False,True
41,3,1,informed,3,2,1,3,False,False,True
42,3,1,informed,2,1,3,2,False,False,True
43,3,1,informed,3,3,2,1,False,True,False
44,3,1,informed,2,3,1,2,False,False,True
45,3,1,informed,1,2,3,1,False,False,True
46,3,1,informed,1,2,3,1,False,False,True
47,3,1,informed,3,3,1,2,False,True,False
48,3,1,informed,3,3,2,1,False,True,False
49,3,1,informed,1,3,2,1,False,False,True
50,3,1,informed,1,3,2,1,False,False,True
51,3,1,informed,3,1,2,3,False,False,True
52,3,1,informed,2,1,3,2,False,False,True
53,3,1,informed,1,3,2,1,False,False,True
54,3,1,informed,2,1,3,2,False,False,True
55,3,1,informed,2,2,3,1,False,True,False
56,3,1,informed,2,1,3,2,False,False,True
57,3,1,informed,3,2,1,3,False,False,True
58,3,1,informed,2,1,3,2,False,False,True
59,3,1,informed,2,2,3,1,False,True,False
60,3,1,informed,3,1,2,3,False,False,True
61,3,1,informed,1,2,3,1,False,False,True
62,3,1,informed,2,1,3,2,False,False,True
63,3,1,informed,1,3,2,1,False,False,True
64,3,1,informed,3,3,2,1,False,True,False
65,3,1,informed,1,3,2,1,False,False,True
66,3,1,informed,3,3,1,2,False,True,False
67,3,1,informed,1,3,2,1,False,False,True
68,3,1,informed,2,1,3,2,False,False,True
69,3,1,informed,3,1,2,3,False,False,True
70,3,1,informed,1,2,3,1,False,False,True
71,3,1,informed,3,3,1,2,False,True,False
72,3,1,informed,3,3,2,1,False,True,False
73,3,1,informed,2,3,1,2,False,False,True
74,3,1,informed,2,2,3,1,False,True,False
75,3,1,informed,1,1,3,2,False,True,False
76,3,1,informed,1,2,3,1,False,False,True
77,3,1,informed,2,2,3,1,False,True,False
78,3,1,informed,2,1,3,2,False,False,True
79,3,1,informed,3,3,1,2,False,True,False
80,3,1,informed,1,3,2,1,False,False,True
81,3,1,informed,1,1,3,2,False,True,False
82,3,1,informed,2,3,1,2,False,False,True
83,3,1,informed,3,3,1,2,False,True,False
84,3,1,informed,2,3,1,2,False,False,True
85,3,1,informed,3,2,1,3,False,False,True
86,3,1,informed,1,3,2,1,False,False,True
87,3,1,informed,3,3,2,1,False,True,False
88,3,1,informed,1,3,2,1,False,False,True
89,3,1,informed,2,3,1,2,False,False,True
90,3,1,informed,3,2,1,3,False,False,True
91,3,1,informed,2,1,3,2,False,False,True
92,3,1,informed,3,3,1,2,False,True,False
93,3,1,informed,3,1,2,3,False,False,True
94,3,1,informed,3,2,1,3,False,False,True
95,3,1,informed,1,2,3,1,False,False,True
96,3,1,informed,1,3,2,1,False,False,True
97,3,1,informed,1,3,2,1,False,False,True
98,3,1,informed,2,3,1,2,False,False,True
99,3,1,informed,3,2,1,3,False,False,True
100,3,1,informed,1,2,3,1,False,False,True
101,3,1,informed,1,2,3,1,False,False,True
102,3,1,informed,3,1,2,3,False,False,True
103,3,1,informed,3,1,2,3,False,False,True
104,3,1,informed,2,3,1,2,False,False,True
105,3,1,informed,1,3,2,1,False,False,True
106,3,1,informed,1,3,2,1,False,False,True
107,3,1,informed,1,3,2,1,False,False,True
108,3,1,informed,1,2,3,1,False,False,True
109,3,1,informed,1,2,3,1,False,False,True
110,3,1,informed,1,1,3,2,False,True,False
111,3,1,informed,1,1,3,2,False,True,False
112,3,1,informed,2,3,1,2,False,False,True
113,3,1,informed,2,3,1,2,False,False,True
114,3,1,informed,2,3,1,2,False,False,True
115,3,1,informed,2,2,1,3,False,True,False
116,3,1,informed,2,2,3,1,False,True,False
117,3,1,informed,3,2,1,3,False,False,True
118,3,1,informed,2,3,1,2,False,False,True
119,3,1,informed,3,1,2,3,False,False,True
120,3,1,informed,2,1,3,2,False,False,True
121,3,1,informed,3,1,2,3,False,False,True
122,3,1,informed,1,3,2,1,False,False,True
123,3,1,informed,2,1,3,2,False,False,True
124,3,1,informed,2,2,1,3,False,True,False
125,3,1,informed,3,1,2,3,False,False,True
126,3,1,informed,1,2,3,1,False,False,True
127,3,1,informed,3,3,1,2,False,True,False
128,3,1,informed,2,2,1,3,False,True,False
129,3,1,informed,3,3,2,1,False,True,False
130,3,1,informed,2,3,1,2,False,False,True
131,3,1,informed,2,1,3,2,False,False,True
132,3,1,informed,2,3,1,2,False,False,True
133,3,1,informed,1,1,2,3,False,True,False
134,3,1,informed,1,2,3,1,False,False,True
135,3,1,informed,2,1,3,2,False,False,True
136,3,1,informed,1,1,2,3,False,True,False
137,3,1,informed,2,3,1,2,False,False,True
138,3,1,informed,2,1,3,2,False,False,True
139,3,1,informed,3,1,2,3,False,False,True
140,3,1,informed,2,1,3,2,False,False,True
141,3,1,informed,3,2,1,3,False,False,True
142,3,1,informed,2,2,3,1,False,True,False
143,3,1,informed,3,3,2,1,False,True,False
144,3,1,informed,1,1,2,3,False,True,False
145,3,1,informed,3,2,1,3,False,False,True
146,3,1,informed,2,3,1,2,False,False,True
147,3,1,informed,1,1,3,2,False,True,False
148,3,1,informed,2,1,3,2,False,False,True
149,3,1,informed,2,3,1,2,False,False,True
150,3,1,informed,1,1,2,3,False,True,False
151,3,1,informed,3,2,1,3,False,False,True
152,3,1,informed,1,1,2,3,False,True,False
153,3,1,informed,3,1,2,3,False,False,True
154,3,1,informed,2,1,3,2,False,False,True
155,3,1,informed,1,3,2,1,False,False,True
156,3,1,informed,3,3,2,1,False,True,False
157,3,1,informed,2,3,1,2,False,False,True
158,3,1,informed,2,2,1,3,False,True,False
159,3,1,informed,2,3,1,2,False,False,True
160,3,1,informed,2,2,3,1,False,True,False
161,3,1,informed,3,2,1,3,False,False,True
162,3,1,informed,3,3,1,2,False,True,False
163,3,1,informed,1,1,3,2,False,True,False
164,3,1,informed,2,2,3,1,False,True,False
165,3,1,informed,3,1,2,3,False,False,True
166,3,1,informed,3,3,1,2,False,True,False
167,3,1,informed,1,2,3,1,False,False,True
168,3,1,informed,1,1,3,2,False,True,False
169,3,1,informed,3,1,2,3,False,False,True
170,3,1,informed,1,1,2,3,False,True,False
171,3,1,informed,2,1,3,2,False,False,True
172,3,1,informed,3,3,1,2,False,True,False
173,3,1,informed,3,3,2,1,False,True,False
174,3,1,informed,2,3,1,2,False,False,True
175,3,1,informed,3,1,2,3,False,False,True
176,3,1,informed,3,1,2,3,False,False,True
177,3,1,informed,3,3,2,1,False,True,False
178,3,1,informed,1,2,3,1,False,False,True
179,3,1,informed,3,2,1,3,False,False,True
180,3,1,informed,2,1,3,2,False,False,True
181,3,1,informed,2,3,1,2,False,False,True
182,3,1,informed,3,1,2,3,False,False,True
183,3,1,informed,1,1,2,3,False,True,False
184,3,1,informed,2,2,1,3,False,True,False
185,3,1,informed,3,1,2,3,False,False,True
186,3,1,informed,3,3,1,2,False,True,False
187,3,1,informed,2,2,1,3,False,True,False
188,3,1,informed,3,1,2,3,False,False,True
189,3,1,informed,2,3,1,2,False,False,True
190,3,1,informed,1,1,2,3,False,True,False
191,3,1,informed,3,3,2,1,False,True,False
192,3,1,informed,1,3,2,1,False,False,True
193,3,1,informed,3,1,2,3,False,False,True
194,3,1,informed,2,3,1,2,False,False,True
195,3,1,informed,3,2,1,3,False,False,True
196,3,1,informed,3,3,2,1,False,True,False
197,3,1,informed,3,1,2,3,False,False,True
198,3,1,informed,2,1,3,2,False,False,True
199,3,1,informed,2,3,1,2,False,False,True
200,3,1,informed,1,2,3,1,False,False,True
201,3,1,informed,3,2,1,3,False,False,True
202,3,1,informed,1,1,2,3,False,True,False
203,3,1,informed,3,1,2,3,False,False,True
204,3,1,informed,3,3,2,1,False,True,False
205,3,1,informed,1,1,3,2,False,True,False
206,3,1,informed,2,1,3,2,False,False,True
207,3,1,informed,1,3,2,1,False,False,True
208,3,1,informed,3,1,2,3,False,False,True
209,3,1,informed,1,2,3,1,False,False,True
210,3,1,informed,3,2,1,3,False,False,True
211,3,1,informed,3,1,2,3,False,False,True
212,3,1,informed,1,2,3,1,False,False,True
213,3,1,informed,3,1,2,3,False,False,True
214,3,1,informed,2,2,3,1,False,True,False
215,3,1,informed,3,2,1,3,False,False,True
216,3,1,informed,2,2,1,3,False,True,False
217,3,1,informed,1,1,2,3,False,True,False
218,3,1,informed,2,1,3,2,False,False,True
219,3,1,informed,3,2,1,3,False,False,True
220,3,1,informed,2,2,1,3,False,True,False
221,3,1,informed,3,3,1,2,False,True,False
222,3,1,informed,1,3,2,1,False,False,True
223,3,1,informed,1,2,3,1,False,False,True
224,3,1,informed,3,2,1,3,False,False,True
225,3,1,informed,3,2,1,3,False,False,True
226,3,1,informed,1,1,3,2,False,True,False
227,3,1,informed,3,1,2,3,False,False,True
228,3,1,informed,2,1,3,2,False,False,True
229,3,1,informed,1,3,2,1,False,False,True
230,3,1,informed,3,3,2,1,False,True,False
231,3,1,informed,2,1,3,2,False,False,True
232,3,1,informed,3,2,1,3,False,False,True
233,3,1,informed,3,2,1,3,False,False,True
234,3,1,informed,3,2,1,3,False,False,True
235,3,1,informed,2,3,1,2,False,False,True
236,3,1,informed,2,2,3,1,False,True,False
237,3,1,informed,2,2,1,3,False,True,False
238,3,1,informed,1,2,3,1,False,False,True
239,3,1,informed,1,3,2,1,False,False,True
240,3,1,informed,1,1,3,2,False,True,False
241,3,1,informed,1,3,2,1,False,False,True
